patent_id	compound_id
1494629	624
1494629	662
1494629	762
1494629	762
1494629	763
1494629	763
1494629	764
1494629	764
1494629	782
1494629	782
1494629	783
1494629	783
1494629	797
1494629	829
1494629	836
1494629	919
1494629	919
1494629	1005
1494629	1005
1494629	1102
1494629	1248
1494629	1257
1494629	1257
1494629	1277
1494629	1277
1494629	1278
1494629	1278
1494629	1310
1494629	1372
1494629	1378
1494629	1385
1494629	1438
1494629	1561
1494629	1645
1494629	1645
1494629	1646
1494629	1646
1494629	1655
1494629	1770
1494629	1774
1494629	1774
1494629	1775
1494629	1775
1494629	1967
1494629	2201
1494629	2201
1494629	2202
1494629	2202
1494629	2415
1494629	2503
1494629	2523
1494629	2939
1494629	2939
1494629	3051
1494629	3083
1494629	3129
1494629	3129
1494629	3129
1494629	3294
1494629	3299
1494629	3323
1494629	3736
1494629	3888
1494629	3888
1494629	3889
1494629	3889
1494629	3965
1494629	3965
1494629	3966
1494629	3966
1494629	4250
1494629	4481
1494629	4821
1494629	4823
1494629	4925
1494629	4930
1494629	5702
1494629	5702
1494629	6163
1494629	6163
1494629	6309
1494629	7092
1494629	7507
1494629	7739
1494629	7792
1494629	7792
1494629	7990
1494629	8136
1494629	8182
1494629	8221
1494629	8392
1494629	8515
1494629	8515
1494629	8516
1494629	8516
1494629	8739
1494629	8739
1494629	9167
1494629	9168
1494629	9353
1494629	10601
1494629	10601
1494629	10602
1494629	10602
1494629	10990
1494629	11769
1494629	12312
1494629	12312
1494629	13610
1494629	14899
1494629	14913
1494629	15000
1494629	15004
1494629	15015
1494629	15064
1494629	15064
1494629	15065
1494629	15065
1494629	15085
1494629	15108
1494629	15193
1494629	15293
1494629	15776
1494629	17062
1494629	18080
1494629	18313
1494629	18313
1494629	18314
1494629	18314
1494629	19610
1494629	20617
1494629	21123
1494629	21348
1494629	21349
1494629	23186
1494629	24113
1494629	24420
1494629	24421
1494629	24536
1494629	24854
1494629	26661
1494629	27020
1494629	27311
1494629	27327
1494629	27389
1494629	33743
1494629	33743
1494629	33744
1494629	33744
1494629	34701
1494629	35071
1494629	35072
1494629	35349
1494629	35349
1494629	35350
1494629	35350
1494629	35888
1494629	35963
1494629	36093
1494629	38758
1494629	43134
1494629	48375
1494629	58082
1494629	58082
1494629	83334
1494629	92758
1494629	92759
1494629	93211
1494629	93619
1494629	159686
1494629	163238
1494629	163239
1494629	177744
1494629	196875
1494629	358609
1494629	1396569
1494629	3252963
1494629	3805519
1494629	12050727
1494629	13204589
1577839	1
1577839	5
1577839	6
1577839	16
1577839	16
1577839	19
1577839	20
1577839	20
1577839	30
1577839	30
1577839	35
1577839	37
